link,name,latitude,longitude
https://www.google.com/maps/place/Cycle+Shop+Reco/data=!4m7!3m6!1s0x600107bdf725b9ff:0x616a7bf1fae1544b!8m2!3d35.019029!4d135.727696!16s%2Fg%2F11bbvpl1zt!19sChIJ_7kl970HAWARS1Th-vF7amE?authuser=0&hl=es-419&rclk=1,Cycle Shop Reco,35.019029,135.727696
https://www.google.com/maps/place/Mori+Bicycle+Shop/data=!4m7!3m6!1s0x6001087fd58509f7:0x59fd147036549a33!8m2!3d35.0136971!4d135.7542885!16s%2Fg%2F11f1wbfjkt!19sChIJ9wmF1X8IAWARM5pUNnAU_Vk?authuser=0&hl=es-419&rclk=1,Mori Bicycle Shop,35.0136971,135.7542885
https://www.google.com/maps/place/Sakaida+Auto+Center/data=!4m7!3m6!1s0x6001064aedb6f8fb:0xeb74c81045721db3!8m2!3d35.0027065!4d135.732233!16s%2Fg%2F1tcy460_!19sChIJ-_i27UoGAWARsx1yRRDIdOs?authuser=0&hl=es-419&rclk=1,Sakaida Auto Center,35.0027065,135.732233
https://www.google.com/maps/place/Winning+Bell/data=!4m7!3m6!1s0x6001070ac6da8cd7:0x3b5cd5ae36516023!8m2!3d35.01164!4d135.713229!16s%2Fg%2F1tcvbsyl!19sChIJ14zaxgoHAWARI2BRNq7VXDs?authuser=0&hl=es-419&rclk=1,Winning Bell,35.01164,135.713229
https://www.google.com/maps/place/CYCLE+DOI/data=!4m7!3m6!1s0x6001062809bbbb3d:0xda99153fa051040!8m2!3d35.0034882!4d135.7513061!16s%2Fg%2F11bx1r_7g7!19sChIJPbu7CSgGAWARQBAF-lORqQ0?authuser=0&hl=es-419&rclk=1,CYCLE DOI,35.0034882,135.7513061
https://www.google.com/maps/place/VELMO%EF%BD%9CWELB+%E4%BA%AC%E9%83%BDBASE+%E3%82%A2%E3%83%99%E3%83%B3%E3%83%88%E3%82%A5%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%95%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x6001077baa2f0be5:0x1236c4b0c4f8e0d3!8m2!3d34.9831758!4d135.7246569!16s%2Fg%2F11tx7h5cc5!19sChIJ5QsvqnsHAWAR0-D4xLDENhI?authuser=0&hl=es-419&rclk=1,VELMO｜WELB 京都BASE アベントゥーライフ株式会社,34.9831758,135.7246569
https://www.google.com/maps/place/Cycle/data=!4m7!3m6!1s0x6001071d4e1e25b9:0x28209d866bdb40ce!8m2!3d34.9913514!4d135.7043896!16s%2Fg%2F1tdft0p_!19sChIJuSUeTh0HAWARzkDba4adICg?authuser=0&hl=es-419&rclk=1,Cycle,34.9913514,135.7043896
https://www.google.com/maps/place/Daiwa+Cycle+Katsura/data=!4m7!3m6!1s0x6001078edaa7d28b:0x3e2a6b9f3027ca92!8m2!3d34.9732354!4d135.7095829!16s%2Fg%2F11rkctgfcp!19sChIJi9Kn2o4HAWARksonMJ9rKj4?authuser=0&hl=es-419&rclk=1,Daiwa Cycle Katsura,34.9732354,135.7095829
https://www.google.com/maps/place/%E3%81%98%E3%81%A6%E3%82%93%E3%81%97%E3%82%83%E5%B7%A5%E6%88%BF%E3%83%94%E3%83%A5%E3%82%A2/data=!4m7!3m6!1s0x6001062ce706134b:0xb70a744ea57212d!8m2!3d35.0084552!4d135.7454328!16s%2Fg%2F1thnnp3z!19sChIJSxMG5ywGAWARLSFX6kSncAs?authuser=0&hl=es-419&rclk=1,じてんしゃ工房ピュア,35.0084552,135.7454328
https://www.google.com/maps/place/%E3%83%80%E3%82%A4%E3%83%AF%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%ABSTYLE+%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%ABKYOTO%E5%BA%97/data=!4m7!3m6!1s0x600109b649d4d0c3:0xe81f43d4c52007af!8m2!3d34.9829409!4d135.7555196!16s%2Fg%2F11vd9sh1gr!19sChIJw9DUSbYJAWARrwcgxdRDH-g?authuser=0&hl=es-419&rclk=1,ダイワサイクルSTYLE イオンモールKYOTO店,34.9829409,135.7555196
